date,year,number_1,number_2,number_3,number_4,number_5,number_6,number_7
2013-01-25,2013,1,18,19,29,31,32,46
2013-01-18,2013,8,16,17,28,32,34,47
2013-01-11,2013,2,25,26,37,39,48,49
2013-01-04,2013,3,6,16,23,27,28,34
2014-12-26,2014,15,20,29,39,40,43,46
2014-12-26,2014,15,20,29,39,40,43,46
2014-12-19,2014,3,6,13,17,22,25,43
2014-12-12,2014,2,14,30,34,38,47,48
2014-12-05,2014,10,14,15,16,42,45,48
2014-11-28,2014,3,4,7,12,17,26,34
2014-11-21,2014,6,18,19,26,37,39,47
2014-11-14,2014,2,5,7,13,15,30,38
2014-11-07,2014,1,3,6,8,14,20,30
2014-10-31,2014,3,12,25,30,42,44,45
2014-10-24,2014,8,27,30,32,34,35,42
2014-10-17,2014,18,19,32,36,38,40,43
2014-10-10,2014,5,13,18,28,31,38,44
2014-10-03,2014,7,15,24,25,27,43,47
2014-09-26,2014,2,3,5,18,37,38,46
2014-09-19,2014,4,7,8,10,16,20,36
2014-09-12,2014,5,6,8,13,24,37,46
2014-09-05,2014,3,8,11,20,28,36,38
2014-08-29,2014,1,23,26,33,35,38,42
2014-08-22,2014,13,16,22,26,35,36,39
2014-08-15,2014,9,16,17,27,32,38,47
2014-08-08,2014,6,9,16,19,20,24,30
2014-08-01,2014,1,2,5,10,11,25,34
2014-07-25,2014,7,9,24,30,35,42,43
2014-07-18,2014,1,3,16,33,34,40,42
2014-07-11,2014,1,6,10,16,18,21,31
2014-07-04,2014,5,10,11,20,26,38,46
2014-06-27,2014,4,6,7,16,18,40,46
2014-06-20,2014,12,17,32,36,43,44,49
2014-06-13,2014,12,16,24,29,36,40,47
2014-06-06,2014,3,5,17,30,36,47,49
2014-05-30,2014,2,5,10,11,23,25,31
2014-05-23,2014,3,11,16,24,31,39,43
2014-05-16,2014,12,13,16,30,32,35,37
2014-05-09,2014,5,7,29,35,39,41,49
2014-05-02,2014,6,15,18,19,25,44,46
2014-04-25,2014,3,9,24,25,28,36,40
2014-04-18,2014,9,16,24,30,39,40,45
2014-04-11,2014,1,3,14,33,35,39,45
2014-04-04,2014,19,30,33,34,36,41,48
2014-03-28,2014,8,15,16,21,31,37,39
2014-03-21,2014,1,2,4,21,23,35,40
2014-03-14,2014,3,4,5,7,31,33,40
2014-03-07,2014,1,6,7,16,22,31,33
2014-02-28,2014,4,7,20,22,26,28,29
2014-02-21,2014,1,10,16,23,29,35,39
2014-02-14,2014,6,8,11,16,17,19,24
2014-02-07,2014,13,19,37,38,40,43,48
2014-01-31,2014,6,10,16,27,38,40,45
2014-01-24,2014,7,10,15,23,30,36,44
2014-01-17,2014,4,9,18,32,35,38,40
2014-01-10,2014,12,28,31,38,40,41,45
2014-01-03,2014,7,16,31,35,39,44,48
2015-12-25,2015,5,8,9,12,22,39,45
2015-12-25,2015,5,8,9,12,22,39,45
2015-12-18,2015,6,20,28,29,30,31,46
2015-12-11,2015,7,12,28,34,45,46,48
2015-12-04,2015,8,15,24,25,27,36,43
2015-11-27,2015,4,8,9,20,23,45,46
2015-11-20,2015,12,21,28,34,36,45,48
2015-11-13,2015,7,11,19,38,40,41,42
2015-11-06,2015,1,10,12,20,29,35,47
2015-10-30,2015,2,11,19,38,43,45,49
2015-10-23,2015,2,7,12,28,29,38,48
2015-10-16,2015,9,14,19,21,31,32,40
2015-10-09,2015,8,11,14,23,26,42,47
2015-10-02,2015,10,12,24,26,34,43,47
2015-09-25,2015,1,7,15,18,21,30,45
2015-09-18,2015,13,16,17,21,35,40,46
2015-09-11,2015,21,22,27,30,39,42,44
2015-09-04,2015,7,8,15,19,36,37,41
2015-08-28,2015,2,4,5,17,29,39,41
2015-08-21,2015,3,13,15,22,33,41,49
2015-08-14,2015,1,15,17,25,34,40,41
2015-08-07,2015,5,13,20,37,39,40,41
2015-07-31,2015,2,5,27,32,35,42,46
2015-07-24,2015,2,4,11,19,28,29,38
2015-07-17,2015,23,24,29,36,42,43,49
2015-07-10,2015,12,14,23,25,31,38,40
2015-07-03,2015,1,6,30,40,46,47,49
2015-06-26,2015,2,4,16,23,30,32,46
2015-06-19,2015,7,14,15,16,21,30,41
2015-06-12,2015,4,7,11,19,34,38,48
2015-06-05,2015,2,10,13,16,30,33,48
2015-05-29,2015,1,30,38,39,44,45,47
2015-05-22,2015,1,4,21,24,29,30,46
2015-05-15,2015,16,23,24,25,40,46,47
2015-05-08,2015,1,7,17,27,32,44,48
2015-05-01,2015,6,18,20,37,40,44,46
2015-04-24,2015,3,37,38,40,42,43,46
2015-04-17,2015,7,11,14,15,19,30,41
2015-04-10,2015,7,8,16,18,24,25,46
2015-04-03,2015,10,11,23,28,32,34,41
2015-03-27,2015,3,7,15,23,29,31,45
2015-03-20,2015,7,10,16,35,36,42,45
2015-03-13,2015,2,8,10,15,17,20,24
2015-03-06,2015,2,8,9,10,24,26,41
2015-02-27,2015,4,12,16,27,37,39,44
2015-02-20,2015,26,34,38,41,46,48,49
2015-02-13,2015,6,9,18,22,25,32,44
2015-02-06,2015,1,5,7,13,14,33,46
2015-01-30,2015,10,15,21,28,32,36,37
2015-01-23,2015,1,14,15,18,26,42,48
2015-01-16,2015,6,29,30,31,36,42,45
2015-01-09,2015,3,7,12,18,31,33,35
2015-01-02,2015,8,9,14,19,28,31,46
2016-12-30,2016,5,10,14,19,31,33,47
2016-12-30,2016,5,10,14,19,31,33,47
2016-12-23,2016,1,5,11,26,28,30,41
2016-12-16,2016,2,9,27,32,38,39,43
2016-12-09,2016,11,17,24,26,34,35,39
2016-12-02,2016,5,8,20,21,29,40,47
2016-11-25,2016,2,11,20,22,31,35,47
2016-11-18,2016,7,10,21,24,38,40,49
2016-11-11,2016,8,14,18,20,24,39,46
2016-11-04,2016,4,23,29,36,39,44,46
2016-10-28,2016,3,5,19,29,33,34,44
2016-10-21,2016,33,34,36,42,44,45,47
2016-10-14,2016,14,18,22,25,36,39,44
2016-10-07,2016,8,9,12,24,29,36,37
2016-09-30,2016,4,12,17,21,32,38,42
2016-09-23,2016,3,13,24,36,39,44,45
2016-09-16,2016,7,12,14,15,27,34,44
2016-09-09,2016,4,10,11,27,29,32,41
2016-09-02,2016,1,12,15,22,25,45,48
2016-08-26,2016,3,10,17,19,26,27,42
2016-08-19,2016,19,22,25,32,37,45,47
2016-08-12,2016,5,7,15,18,19,27,28
2016-08-05,2016,4,6,10,20,40,46,47
2016-07-29,2016,11,15,25,26,39,47,49
2016-07-22,2016,9,26,28,32,37,40,45
2016-07-15,2016,19,30,31,36,40,44,49
2016-07-08,2016,1,8,16,25,30,42,48
2016-07-01,2016,10,12,14,28,36,39,45
2016-06-24,2016,2,17,22,24,26,42,48
2016-06-17,2016,1,16,20,29,33,44,46
2016-06-10,2016,5,11,15,26,27,33,39
2016-06-03,2016,12,21,28,37,40,43,47
2016-05-27,2016,1,14,16,20,26,32,34
2016-05-20,2016,16,17,19,22,31,47,49
2016-05-13,2016,3,6,8,17,21,28,34
2016-05-06,2016,1,8,10,24,26,37,45
2016-04-29,2016,11,21,22,24,26,36,43
2016-04-22,2016,13,16,20,35,37,43,49
2016-04-15,2016,1,9,17,19,25,27,38
2016-04-08,2016,9,12,13,14,28,39,41
2016-04-01,2016,5,6,27,28,31,41,45
2016-03-25,2016,1,6,15,32,42,45,46
2016-03-18,2016,6,8,15,24,26,39,44
2016-03-11,2016,9,17,27,30,31,34,42
2016-03-04,2016,4,14,24,41,42,44,48
2016-02-26,2016,6,9,22,23,36,38,47
2016-02-19,2016,2,11,20,22,33,40,43
2016-02-12,2016,19,20,26,31,34,39,48
2016-02-05,2016,6,7,8,9,17,23,30
2016-01-29,2016,5,11,14,17,28,41,47
2016-01-22,2016,20,21,22,34,42,43,45
2016-01-15,2016,7,26,27,31,32,33,42
2016-01-08,2016,13,15,21,24,25,36,48
2016-01-01,2016,6,10,13,14,25,41,46
2017-12-29,2017,22,23,26,35,37,39,47
2017-12-29,2017,22,23,26,35,37,39,47
2017-12-22,2017,13,16,19,21,24,26,30
2017-12-15,2017,8,14,17,27,28,30,48
2017-12-08,2017,1,17,31,33,39,46,49
2017-12-01,2017,26,28,33,38,42,43,47
2017-11-24,2017,5,11,20,22,35,38,46
2017-11-17,2017,3,15,22,23,33,47,49
2017-11-10,2017,5,12,18,26,29,31,37
2017-11-03,2017,16,17,18,20,40,42,43
2017-10-27,2017,1,14,15,16,24,39,49
2017-10-20,2017,1,4,12,27,35,38,46
2017-10-13,2017,8,14,16,17,18,34,41
2017-10-06,2017,10,17,25,27,29,34,38
2017-09-29,2017,1,6,14,23,38,40,47
2017-09-22,2017,2,10,37,38,39,43,47
2017-09-15,2017,15,20,24,30,39,44,46
2017-09-08,2017,1,2,15,16,22,29,41
2017-09-01,2017,1,7,18,28,31,39,48
2017-08-25,2017,18,19,23,34,39,43,46
2017-08-18,2017,2,9,13,16,25,26,45
2017-08-11,2017,13,14,19,26,27,36,37
2017-08-04,2017,1,4,11,17,27,36,37
2017-07-28,2017,9,12,16,24,33,45,47
2017-07-21,2017,2,11,12,25,33,39,44
2017-07-14,2017,2,4,11,17,26,41,42
2017-07-07,2017,4,8,13,16,26,33,38
2017-06-30,2017,7,24,26,36,37,43,44
2017-06-23,2017,2,3,6,22,24,42,46
2017-06-16,2017,1,5,20,33,34,41,42
2017-06-09,2017,7,11,20,21,22,37,47
2017-06-02,2017,11,12,25,28,33,41,43
2017-05-26,2017,14,16,18,21,38,44,49
2017-05-19,2017,8,11,18,25,34,35,38
2017-05-12,2017,11,25,26,28,38,44,45
2017-05-05,2017,11,14,20,22,26,35,43
2017-04-28,2017,10,14,22,36,38,44,45
2017-04-21,2017,3,4,13,16,35,47,49
2017-04-14,2017,23,25,29,30,42,44,45
2017-04-07,2017,8,12,14,34,37,44,48
2017-03-31,2017,1,2,12,15,22,25,41
2017-03-24,2017,16,19,21,32,37,39,45
2017-03-17,2017,2,5,6,7,8,33,45
2017-03-10,2017,1,11,15,20,36,41,47
2017-03-03,2017,3,7,20,25,29,31,44
2017-02-24,2017,1,17,19,23,28,29,47
2017-02-17,2017,5,9,14,24,33,37,46
2017-02-10,2017,11,16,19,22,24,38,41
2017-02-03,2017,8,19,24,28,34,42,48
2017-01-27,2017,1,3,8,22,29,38,47
2017-01-20,2017,4,10,21,28,29,37,45
2017-01-13,2017,2,8,24,30,31,38,40
2017-01-06,2017,10,13,18,19,38,47,48
2018-12-28,2018,5,13,14,16,17,29,49
2018-12-28,2018,5,13,14,16,17,29,49
2018-12-21,2018,7,21,23,25,31,34,45
2018-12-14,2018,6,7,11,21,23,27,41
2018-12-07,2018,2,9,15,23,26,30,41
2018-11-30,2018,5,8,15,20,25,26,47
2018-11-23,2018,1,7,13,14,22,42,48
2018-11-16,2018,11,17,24,34,41,42,48
2018-11-09,2018,2,12,31,34,39,48,49
2018-11-02,2018,9,10,16,23,24,39,49
2018-10-26,2018,2,3,4,8,9,20,30
2018-10-19,2018,10,15,16,17,19,27,38
2018-10-12,2018,18,31,38,45,46,47,48
2018-10-05,2018,8,9,12,20,22,27,30
2018-09-28,2018,25,28,31,36,42,44,49
2018-09-21,2018,3,9,15,16,19,45,48
2018-09-14,2018,1,3,5,10,16,27,43
2018-09-07,2018,3,12,21,34,37,38,41
2018-08-31,2018,2,4,18,19,20,39,44
2018-08-24,2018,3,5,7,11,13,20,29
2018-08-17,2018,12,17,22,27,28,29,35
2018-08-10,2018,2,9,18,33,36,40,49
2018-08-03,2018,9,11,23,33,35,36,42
2018-07-27,2018,8,11,14,17,26,30,36
2018-07-20,2018,6,8,12,19,20,25,49
2018-07-13,2018,1,4,5,22,25,32,34
2018-07-06,2018,1,11,20,32,41,42,44
2018-06-29,2018,3,5,17,23,28,43,46
2018-06-22,2018,3,10,16,28,31,38,47
2018-06-15,2018,18,23,28,37,44,45,47
2018-06-08,2018,12,25,27,29,34,44,45
2018-06-01,2018,2,11,17,18,22,25,39
2018-05-25,2018,7,10,13,19,24,31,41
2018-05-18,2018,4,13,23,30,31,37,43
2018-05-11,2018,11,22,28,33,39,43,47
2018-05-04,2018,1,11,15,16,20,29,39
2018-04-27,2018,8,9,11,17,37,39,41
2018-04-20,2018,6,14,16,22,30,42,45
2018-04-13,2018,1,8,9,22,29,30,32
2018-04-06,2018,7,18,29,30,41,45,46
2018-03-30,2018,1,12,18,19,21,24,41
2018-03-23,2018,7,12,15,23,35,43,49
2018-03-16,2018,13,24,29,31,35,36,42
2018-03-09,2018,13,18,20,26,32,35,47
2018-03-02,2018,7,25,26,28,32,36,37
2018-02-23,2018,13,17,24,32,33,44,45
2018-02-16,2018,5,14,22,23,35,40,49
2018-02-09,2018,6,19,24,25,36,37,39
2018-02-02,2018,3,8,9,24,28,31,44
2018-01-26,2018,7,8,13,19,23,32,40
2018-01-19,2018,9,18,25,30,39,40,43
2018-01-12,2018,1,8,16,19,26,34,41
2018-01-05,2018,1,3,13,15,28,36,49
